City,Country,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Population,Prev,Growth
Vienna,Austria,2.13,7.67,4.26,1.25,1248.9,1619.72,81.84,51.21,79.86,22.39,77.21,27.45,1929944.0,1915338.0,0.0076
Utrecht,Netherlands,2.13,6.82,4.26,1.45,1193.48,1611.19,79.7,49.87,70.9,18.27,72.61,29.76,544389.0,536473.0,0.0148
Muscat,Oman,1.7,5.1,5.46,0.2,1061.97,1609.09,86.3,77.16,62.5,64.65,58.99,50.0,1549729.0,1501635.0,0.032
Brighton,United Kingdom,2.49,14.95,4.97,1.37,1295.38,1594.31,80.61,50.56,58.33,50.25,62.62,33.12,606909.0,601574.0,0.0089
Singapore,Singapore,2.64,5.27,15.82,1.11,3164.42,1582.21,81.07,33.14,58.82,18.48,42.65,19.96,5935053.0,5868104.0,0.0114
Liverpool,United Kingdom,1.99,7.67,5.98,1.35,896.8,1534.47,81.23,53.78,82.86,55.35,83.14,28.7,901708.0,897218.0,0.005
Bristol,United Kingdom,2.49,8.22,6.98,1.36,1619.23,1507.13,79.66,39.76,88.89,36.22,67.91,42.71,686210.0,678612.0,0.0112
Belfast,United Kingdom,2.19,5.98,6.22,1.39,807.12,1494.67,82.15,52.8,33.33,29.24,80.55,34.06,630632.0,626760.0,0.0062
Milan,Italy,1.19,6.82,4.26,1.53,1704.96,1491.84,81.9,43.43,71.36,22.09,40.8,56.2,3140181.0,3136077.0,0.0013
Seoul,South Korea,2.59,5.25,11.67,1.17,1458.2,1458.2,82.43,54.3,75.0,85.59,60.28,21.35,9963452.0,9962393.0,0.0001
Riyadh,Saudi Arabia,1.69,79.49,17.43,0.08,610.14,1394.6,83.22,63.22,54.59,11.48,67.72,32.39,7231447.0,7070665.0,0.0227
Manchester,United Kingdom,2.4,8.0,6.0,1.15,1200.0,1388.55,81.89,62.31,61.42,0.0,73.0,24.2,2730076.0,2710074.0,0.0074
Fortaleza,Brazil,1.46,5.2,5.85,0.88,650.26,1307.54,80.17,52.28,45.46,66.32,36.68,78.65,4073465.0,4025753.0,0.0119
Madrid,Spain,1.7,6.82,3.92,1.24,1193.48,1278.72,85.37,54.07,73.51,55.77,59.87,39.34,6617513.0,6559041.0,0.0089
Florence,Italy,1.02,6.82,4.26,1.53,1278.72,1278.72,76.63,35.31,67.11,29.44,53.73,39.58,708357.0,707728.0,0.0009
Rome,Italy,1.02,6.82,4.26,1.53,2131.21,1270.2,79.07,32.72,61.64,19.84,26.8,62.34,4257056.0,4234019.0,0.0054
Marseille,France,1.7,8.44,4.26,1.32,1022.98,1236.1,81.62,57.05,77.53,25.59,59.87,47.27,1608236.0,1603434.0,0.003
Cape Town,South Africa,1.27,3.18,3.53,0.82,811.48,1199.58,87.95,60.36,71.67,75.98,78.73,68.06,4617560.0,4524111.0,0.0207
Haifa,Israel,2.16,6.75,8.1,1.37,719.73,1196.51,78.84,44.03,72.69,29.86,52.08,46.59,1147431.0,1140844.0,0.0058
Manama,Bahrain,2.6,5.2,19.61,0.17,1078.72,1176.78,77.56,40.26,72.22,17.06,63.85,19.79,634508.0,600433.0,0.0568
Johannesburg,South Africa,1.16,3.46,3.53,0.84,705.63,1167.89,84.08,53.99,59.98,47.39,51.26,83.93,5782747.0,5635127.0,0.0262
Jerusalem,Israel,2.52,6.84,6.3,1.43,810.35,1080.46,78.28,37.22,79.4,64.44,50.87,46.59,931756.0,919407.0,0.0134
Naples,Italy,1.02,6.39,4.26,1.53,1044.29,1022.98,76.27,35.38,41.67,12.01,42.92,56.67,2186853.0,2191906.0,-0.0023
Pretoria,South Africa,1.06,3.63,3.25,0.84,377.8,952.6,80.56,46.74,71.11,70.13,61.44,68.06,2565660.0,2472612.0,0.0376
Moscow,Russia,3.1,7.24,7.03,0.62,2067.19,930.24,76.35,24.94,42.3,30.03,18.65,53.19,12537954.0,12476171.0,0.005
Curitiba,Brazil,1.54,5.2,8.05,0.87,861.59,796.57,76.15,34.97,59.03,33.59,58.67,46.27,3678732.0,3629408.0,0.0136
Lisbon,Portugal,1.02,5.11,2.98,1.38,822.65,767.23,77.63,32.48,62.38,28.78,56.08,40.08,2956879.0,2942097.0,0.005
Prague,Czech Republic,1.32,5.08,3.29,1.18,821.94,723.3,76.64,35.32,64.15,41.53,58.85,34.54,1305737.0,1298804.0,0.0053
Kuala Lumpur,Malaysia,1.72,2.57,10.72,0.41,857.82,702.18,77.88,37.09,56.21,69.65,42.4,68.91,7996830.0,7780301.0,0.0278
Porto,Portugal,0.68,4.26,3.41,1.37,596.74,664.94,76.17,31.28,61.51,67.64,58.95,37.51,1312947.0,1309805.0,0.0024
Warsaw,Poland,1.66,5.19,5.19,1.18,726.59,664.31,76.76,35.77,63.33,86.16,51.82,32.03,1783251.0,1775933.0,0.0041
Buenos Aires,Argentina,2.08,5.48,3.94,0.89,590.75,657.33,77.29,29.29,79.17,47.26,39.78,59.46,15153729.0,15057273.0,0.0064
Saint Petersburg,Russia,2.07,6.2,6.2,0.62,1033.6,620.16,73.1,24.82,46.34,77.98,25.97,56.96,5467808.0,5426959.0,0.0075
Santiago,Chile,1.64,5.34,4.11,1.09,547.6,616.05,74.6,29.96,66.11,92.42,39.13,42.33,6767223.0,6723516.0,0.0065
Santiago,Chile,1.64,5.34,4.11,1.09,547.6,616.05,74.6,29.96,66.11,92.42,39.13,42.33,664575.0,657179.0,0.0113
Zagreb,Croatia,1.12,3.7,4.48,1.23,504.36,605.23,73.84,26.71,52.78,83.45,47.59,32.29,684878.0,685233.0,-0.0005
Beijing,China,2.64,8.46,10.36,0.86,1586.25,600.13,74.17,22.97,58.9,57.18,25.69,47.61,20462610.0,20035456.0,0.0213
Thessaloniki,Greece,2.98,6.82,5.11,1.45,468.87,596.74,73.76,24.58,61.94,34.62,43.61,41.64,812166.0,811435.0,0.0009
Shanghai,China,2.96,8.46,8.46,0.85,1533.38,592.2,75.69,26.74,78.7,61.74,31.66,16.51,27058480.0,26317104.0,0.0282
Mexico City,Mexico,1.6,3.2,7.47,0.56,747.1,587.01,75.07,24.28,61.76,18.95,27.91,77.86,21782378.0,21671908.0,0.0051
Montevideo,Uruguay,2.13,6.06,5.23,1.24,653.77,585.12,71.69,21.56,59.72,31.72,44.63,50.16,1752388.0,1744700.0,0.0044
Santo Domingo,Dominican Republic,0.8,3.27,5.0,1.01,437.44,556.74,74.6,28.82,62.5,18.59,41.88,62.19,3317784.0,3245021.0,0.0224
Caracas,Venezuela,1.8,9.12,11.97,0.07,1634.42,527.89,65.18,11.25,44.44,83.45,8.61,85.7,2938992.0,2935501.0,0.0012
Vilnius,Lithuania,1.23,4.44,4.44,1.19,493.78,457.29,72.45,24.17,77.31,82.08,64.19,27.93,538894.0,537563.0,0.0025
Bangkok,Thailand,1.37,4.1,13.68,0.91,1139.76,455.91,74.21,20.82,95.96,60.39,37.54,36.1,10539415.0,10350204.0,0.0183
Belo Horizonte,Brazil,1.38,5.69,8.13,0.9,764.05,455.69,71.79,21.77,57.26,59.73,36.26,50.99,6084430.0,6028319.0,0.0093
